,number,context,question,A,B,C,D,E,answer,context-images
0,138,"


No monte de Cerro Armazones, no deserto de Atacama, no Chile, ficará o maior telescópio da superfície terrestre, o Telescópio Europeu Extremamente Grande (E-ELT). O E-ELT terá um espelho primário de 42 m de diâmetro, “o maior olho do mundo voltado para o céu”.

Disponível em: http://www.estadao.com.br. Acesso em: 27 abr. 2010 (adaptado).




Ao ler esse texto em uma sala de aula, uma professora fez uma suposição de que o diâmetro do olho humano mede aproximadamente 2,1 cm.


","

Qual a razão entre o diâmetro aproximado do olho humano, suposto pela professora, e o diâmetro do espelho primário do telescópio citado?


",1 : 20,1 : 100,1 : 200,1 : 1 000,1 : 2 000,E,
1,139,"

Uma fábrica produz barras de chocolates no formato de paralelepípedos e de cubos, com o mesmo volume. As arestas da barra de chocolate no formato de paralelepípedo medem 3 cm de largura, 18 cm de comprimento e 4 cm de espessura.


","

Analisando as características das figuras geométricas descritas, a medida das arestas dos chocolates que têm o formato de cubo é igual a


",5 cm.,6 cm.,12 cm.,24 cm.,25 cm.,A,
2,150,"

A loja Telas & Molduras cobra 20 reais por metro quadrado de tela, 15 reais por metro linear de moldura, mais uma taxa fixa de entrega de 10 reais. Uma artista plástica precisa encomendar telas e molduras a essa loja, suficientes para 8 quadros retangulares (25 cm × 50 cm). Em seguida, fez uma segunda encomenda, mas agora para 8 quadros retangulares (50 cm × 100 cm).


","

O valor da segunda encomenda será


","o dobro do valor da primeira encomenda, porque a altura e a largura dos quadros dobraram.","maior do que o valor da primeira encomenda, mas não o dobro.","a metade do valor da primeira encomenda, porque a altura e a largura dos quadros dobraram.","menor do que o valor da primeira encomenda, mas não a metade.","igual ao valor da primeira encomenda, porque o custo de entrega será o mesmo.",B,
3,146,"







","



O produto das três dimensões indicadas na peça resultaria na medida da grandeza




",massa.,volume.,superfície.,capacidade.,comprimento.,B,enem-data/enem-2010/146-images/context_img_0.png
4,141,"







","

Supondo-se que, no Sudeste, 14 900 estudantes foram entrevistados nessa pesquisa, quantos deles possuíam telefone móvel celular?


",5 513,6 556,7 450,8 344,9 536,D,enem-data/enem-2010/141-images/context_img_0.png
5,140,"







","

Considerando-se que até 2009 o desmatamento cresceu 10,5% em relação aos dados de 2004, o desmatamento médio por estado em 2009 está entre


",100 km² e 900 km².,1 000 km² e 2 700 km².,2 800 km² e 3 200 km².,3 300 km² e 4 000 km².,4 100 km² e 5 800 km².,C,enem-data/enem-2010/140-images/context_img_0.png
6,144,"







","

As figuras mostram que as proporcionalidades existentes entre resistência (R) e comprimento (ℓ), resistência (R) e área da secção transversal (A), e entre comprimento (ℓ) e área da secção transversal (A) são, respectivamente,


","direta, direta e direta.","direta, direta e inversa.","direta, inversa e direta.","inversa, direta e direta.","inversa, direta e inversa.",C,enem-data/enem-2010/144-images/context_img_0.png
7,143,"







","

Se o Brasil tivesse obtido mais 4 medalhas de ouro, 4 de prata e 10 de bronze, sem alteração no número de medalhas dos demais países mostrados no quadro, qual teria sido a classificação brasileira no quadro de medalhas das Olimpíadas de 2004?


",13º,12º,11º,10º,9º,B,enem-data/enem-2010/143-images/context_img_0.png
8,147,"









Um pequeno helicóptero usado para reconhecimento sobrevoa a região a partir do ponto X = (20; 60). O helicóptero segue o percurso:
0,8°L→0,5°N→0,2°O→0,1°S→0,4°N→0,3°L
Ao final, desce verticalmente até pousar no solo.



","

De acordo com as orientações, o helicóptero pousou em um local cuja altitude é


",menor ou igual a 200 m.,maior que 200 m e menor ou igual a 400 m.,maior que 400 m e menor ou igual a 600 m,maior que 600 m e menor ou igual a 800 m.,maior que 800 m.,A,enem-data/enem-2010/147-images/context_img_0.png
9,149,"







","

Que expressão fornece a quantidade de quadrados de cada figura?


",C = 4Q,C = 3Q + 1,C = 4Q + 1,C = Q + 3,C = 4Q – 2,B,enem-data/enem-2010/149-images/context_img_0.png
10,148,"







","

Com base no gráfico, o gasto militar no ínicio da guerra no Iraque foi de


","U$ 4.174.000,00.","U$ 41.740.000,00.","U$ 417.400.000,00.","U$ 41.740.000.000,00.","U$ 417.400.000.000,00.",E,enem-data/enem-2010/148-images/context_img_0.png
11,145,"







","

Supondo que o total de pessoas pesquisadas na região metropolitana de Porto Alegre equivale a 250 000, o número de desempregados em março de 2010, nessa região, foi de


",24500,25000,220500,223000,227500,A,enem-data/enem-2010/145-images/context_img_0.png
12,151,"








Com o objetivo de não desperdiçar café, a diarista deseja colocar a quantidade mínima de água na leiteira para encher os vinte copinhos pela metade.


","

Para que isso ocorra, Dona Maria deverá


","encher a leiteira até a metade, pois ela tem um volume 20 vezes maior que o volume do copo.","encher a leiteira toda de água, pois ela tem um volume 20 vezes maior que o volume do copo.","encher a leiteira toda de água, pois ela tem um volume 10 vezes maior que o volume do copo.","encher duas leiteiras de água, pois ela tem um volume 10 vezes maior que o volume do copo.","encher cinco leiteiras de água, pois ela tem um volume 10 vezes maior que o volume do copo.",A,enem-data/enem-2010/151-images/context_img_0.png
13,155,"

Uma escola recebeu do governo uma verba de R$ 1000,00 para enviar dois tipos de folhetos pelo correio. O diretor da escola pesquisou que tipos de selos deveriam ser utilizados. Concluiu que, para o primeiro tipo de folheto, bastava um selo de R$ 0,65 enquanto para folhetos do segundo tipo seriam necessários três selos, um de R$ 0,65, um de R$ 0,60 e um de R$ 0,20. O diretor solicitou que se comprassem selos de modo que fossem postados exatamente 500 folhetos do segundo tipo e uma quantidade restante de selos que permitisse o envio do máximo possível de folhetos do primeiro tipo.


","

Quantos selos de R$ 0,65 foram comprados?


",476,675,923,965,1538,C,
14,157,"


Para construir uma manilha de esgoto, um cilindro com 2 m de diâmetro e 4 m de altura (de espessura desprezível), foi envolvido homogeneamente por uma camada de concreto, contendo 20 cm de espessura.



","

Supondo que cada metro cúbico de concreto custe R$ 10,00 e tomando 3,1 como valor aproximado de π, então o preço dessa manilha é igual a


","R$ 230,40.","R$ 124,00.","R$ 104,16.","R$ 54,56.","R$ 49,60.",D,
15,154,"

Uma empresa possui um sistema de controle de qualidade que classifica o seu desempenho financeiro anual, tendo como base o do ano anterior. Os conceitos são: insuficiente, quando o crescimento é menor que 1%; regular, quando o crescimento é maior ou igual a 1% e menor que 5%; bom, quando o crescimento é maior ou igual a 5% e menor que 10%; ótimo, quando é maior ou igual a 10% e menor que 20%; e excelente, quando é maior ou igual a 20%. Essa empresa apresentou lucro de R$132000,00 em 2008 e de R$145000,00 em 2009.


","

De acordo com esse sistema de controle de qualidade, o desempenho financeiro dessa empresa no ano de 2009 deve ser considerado


",insuficiente.,regular.,bom.,ótimo.,excelente.,C,
16,153,"


O jornal de certa cidade publicou em uma página inteira a seguinte divulgação de seu caderno de classificados










","

Para que a propaganda seja fidedigna à porcentagem da área que aparece na divulgação, a medida do lado do retângulo que representa os 4%, deve ser de aproximadamente


",1 mm.,10 mm.,17 mm.,160 mm.,167 mm.,D,enem-data/enem-2010/153-images/context_img_0.png
17,152,"


Em canteiros de obras de construção civil é comum perceber trabalhadores realizando medidas de comprimento e de ângulos e fazendo demarcações por onde a obra deve começar ou se erguer. Em um desses canteiros foram feitas algumas marcas no chão plano. Foi possível perceber que, das seis estacas colocadas, três eram vértices de um triângulo retângulo e as outras três eram os pontos médios dos lados desse triângulo, foram indicadas por letras.












A região demarcada pelas estacas A, B, M e N deveria ser calçada com concreto.



","

Nessas condições, a área a ser calçada corresponde


",à mesma área do triângulo AMC.,à mesma área do triângulo BNC.,à metade da área formada pelo triângulo ABC.,ao dobro da área do triângulo MNC.,ao triplo da área do triângulo MNC.,E,enem-data/enem-2010/152-images/context_img_0.png
18,158,"









Um técnico em manejo florestal recebeu a missão de cubar, abater e transportar cinco toras de madeira, de
duas espécies diferentes, sendo
• 3 toras da espécie I, com 3 m de rodo, 12 m de comprimento e densidade 0,77 toneladas/m³;
• 2 toras da espécie II, com 4 m de rodo, 10 m de comprimento e densidade 0,78 toneladas/m³.



","

Após realizar seus cálculos, o técnico solicitou que enviassem caminhões para transportar uma carga de, aproximadamente,


","29,9 toneladas.","31,1 toneladas.","32,4 toneladas.","35,3 toneladas.","41,8 toneladas.",A,enem-data/enem-2010/158-images/context_img_0.png
19,156,"







","

Paula deseja se deslocar da cidade A para a cidade B usando exatamente duas das vias indicadas, percorrendo um trajeto com a menor probabilidade de engarrafamento possível. O melhor trajeto para Paula é


",E1E3.,E1E4.,E2E4.,E2E5.,E2E6,D,enem-data/enem-2010/156-images/context_img_0.png
20,163,"


Nos processos industriais, como na indústria de cerâmica, é necessário o uso de fornos capazes de produzir elevadas temperaturas e, em muitas situações, o tempo de elevação dessa temperatura deve ser controlado, para garantir a qualidade do produto final e a economia no processo. Em uma indústria de cerâmica, o forno é programado para elevar a temperatura ao longo do tempo de acordo com a função












em que T é o valor da temperatura atingida pelo forno, em graus Celsius, e t é o tempo, em minutos, decorrido desde o instante em que o forno é ligado.
Uma peça deve ser colocada nesse forno quando a temperatura for 48°C e retirada quando a temperatura for
200°C.



","

O tempo de permanência dessa peça no forno é, em minutos, igual a


",100.,108.,128.,130.,150.,D,enem-data/enem-2010/163-images/context_img_0.png
21,162,"







","

Qual dos tanques deverá ser escolhido pelo dono do posto? (Considere p π ≅ 3)


","I, pela relação área/capacidade de armazenamento de 1/3","I, pela relação área/capacidade de armazenamento de 4/3","II, pela relação área/capacidade de armazenamento de 3/4","III, pela relação área/capacidade de armazenamento de 2/3","III, pela relação área/capacidade de armazenamento de 7/12",D,enem-data/enem-2010/162-images/context_img_0.png
22,159,"







","

Se uma menina, com 64 kg de massa, apresenta IMC igual a 25 kg/m2, então ela possui RIP igual a


","0,4 cm/kg1/3.","2,5 cm/kg1/3.",8 cm/kg1/3.,20 cm/kg1/3.,40 cm/kg1/3.,E,enem-data/enem-2010/159-images/context_img_0.png
