,context,question,A,B,C,D,E,answer
0,"


Não estou mais pensando como costumava pensar. Percebo isso de modo mais acentuado quando estou lendo. Mergulhar num livro, ou num longo artigo, costumava ser fácil. Isso raramente ocorre atualmente. Agora minha atenção começa a divagar depois de duas ou três páginas. Creio que sei o que está acontecendo. Por mais de uma década venho passando mais tempo On-line, procurando e surfando e algumas vezes acrescentando informação à grande biblioteca da internet. A internet tem sido uma dádiva para um escritor como eu. Pesquisas que antes exigiam dias de procura em jornais ou na biblioteca agora podem ser feitas em minutos. Como disse o teórico da comunicação Marshall McLuhan nos anos 60, a mídia não é apenas um canal passivo para o tráfego de informação. Ela fornece a matéria, mas também molda o processo de pensamento. E o que a net parece fazer é pulverizar minha capacidade de concentração e contemplação.

CARR, N. Is Google making us stupid’? Disponível em: www.theatlantic.com. Acesso em: 17 fev. 2013 (adaptado).



","

Em relação à internet, a perspectiva defendida pelo autor ressalta um paradoxo que se caracteriza por


",associar uma experiência superficial à abundância de informações.,condicionar uma capacidade individual à desorganização da rede.,agregar uma tendência contemporânea à aceleração do tempo.,aproximar uma mídia inovadora à passividade da recepҫãо.,equiparar uma ferramenta digital à tecnologia analógica.,A
1,"


O Rio de Janeiro tem projeção imediata no próprio estado e no Espírito Santo, e parcela do Sul do estado da Bahia, e na Zona da Mata, e Minas Gerais, onde tem influência dividida com Belo Horizonte. Compõem a rede urbana do Rio de Janeiro, entre outras cidades: Vitória, Juiz de Fora, Cachoeiro de Itapemirim, Campos dos Goytacazes, Volta Redonda – Barra Mansa, Teixeira de Freitas, Angra dos Reis e Teresópolis.

Disponível em: http://ibge.gov.br. Acesso em: 9 jul.2015 (adaptado).



","

O conceito que expressa a relação entre o espaço apresentado e a cidade do Rio de Janeiro é:


",Frente pioneira.,Zona de transição.,Região polarizada.,Área de conurbação.,Periferia metropolitana.,C
2,"


A regulação das relações de trabalho compõe uma estrutura complexa, em que cada elemento se ajusta aos demais. A Justiça do Trabalho é apenas uma das peças dessa vasta engrenagem. A presença de representantes classistas na composição dos órgãos da Justiça do Trabalho é também resultante da montagem dessa regulação. O poder normativo também reflete essa característica. Instituída pela Constituição de 1934, a Justiça do Trabalho só vicejou no ambiente político do Estado Novo instaurado em 1937.

ROMITA, A. S. Justiça do Trabalho: produto do Estado Novo. In: PANDOLFI, D. (Org.). Repensando o Estado Novo, Rio de Janeiro: Editora FGV, 1999.



","

A criação da referida instituição estatal na conjuntura histórica abordada teve por objetivo


",legitimar os protestos fabris.,ordenar os conflitos laborais.,oficializar os sindicatos plurais.,assegurar os princípios liberais.,unificar os salários profissionais.,B
3,"


Quanto mais complicada se tornou a produção industrial, mais numerosos passaram a ser os elementos da indústria que exigiam garantia de fornecimento. Três deles eram de importância fundamental: o trabalho, a terra e o dinheiro. Numa sociedade comercial, esse fornecimento só poderia ser organizado de uma forma: tornando-os disponíveis à compra. Agora eles tinham que ser organizados para a venda no mercado. Isso estava de acordo com a exigência de um sistema de mercado. Sabemos que em um sistema como esse, os lucros só podem ser assegurados se se garante a autorregulação por meios de mercados competitivos interdependentes.

POLANYI, K. A grande transformação: As origens de nossa época. Rio de Janeiro: Campus, 2000 (Adaptado).



","

A consequência do processo de transformação socioeconômica abordada no texto é a


",expansão das terras comunais.,limitação do mercado como meio de especulação.,consolidação da força de trabalho como mercadoria.,diminuição do comércio como efeito da industrialização.,adequação do dinheiro como elemento padrão das transações.,C
4,"


Fragmento B91: Não se pode banhar duas vezes no mesmo rio, nem substância mortal alcançar duas vezes a mesma condição; mas pela intensidade e rapidez da mudança, dispersa e de novo reúne.

HERÁCLITO. Fragmentos (Sobre a natureza). São Paulo: Abril Cultural, 1996 (adaptado).





Fragmento B8: São muitos os sinais de que o ser é ingênito e indestrutível, pois é compacto, inabalável e sem fim; não foi nem será, pois é agora um todo homogêneo, uno, contínuo. Como poderia o que é perecer? Como poderia gerar-se?

PARMÊNIDES. Da natureza. São Paulo: Loyola, 2002 (adaptado).



","

Os fragmentos do pensamento pré-socrático expõem uma oposição que se insere no campo das


",investigações do pensamento sistemático.,preocupações do período mitológico.,discussões de base ontológica.,habilidades da retórica sofística.,verdades do mundo sensível.,C
5,"


A linhagem dos primeiros críticos ambientais brasileiros não praticou o elogio laudatório da beleza e da grandeza do meio natural brasileiro. O meio natural foi elogiado por sua riqueza e potencial econômico, sendo sua destruição interpretada como um signo de atraso, ignorância e falta de cuidado.

PADUA, J. A. Um sopro de destruição: pensamento político e crítica ambiental no Brasil escravista (1786-1888). Rio de Janeiro:Zahar, 2002 (adaptado).



","

Descrevendo a posição dos críticos ambientais brasileiros dos séculos XVIII e XIX, o autor demonstra que, via de regra, eles viam o meio natural como


",ferramenta essencial para o avanço da nação.,dádiva divina para o desenvolvimento industrial.,paisagem privilegiada para a valorização fundiária.,limitação topográfica para a promoção da urbanização.,obstáculo climático para o estabelecimento da civilização.,A
6,"


Em 1935, o governo brasileiro começou a negar vistos a judeus. Posteriormente, durante o Estado Novo, uma circular secreta proibiu a concessão de vistos a “pessoas de origem semita”, inclusive turistas e negociantes, o que causou uma queda de 75% da imigração judaica ao longo daquele ano. Entretanto, mesmo com as imposições da lei, muitos judeus continuaram entrando ilegalmente no país durante a guerra e as ameaças de deportação em massa nunca foram concretizadas, apesar da extradição de alguns indivíduos por sua militância política.

GRIMBERG, K. Nova língua interior. 500 anos de história dos judeus no Brasil. In: IBGE, Brasil: 500 anos de povoamento. Rio de Janeiro: IBGE, 2000 (adaptado).



","

Uma razão para a adoção da política de imigração mencionada no texto foi o(a)


",receio do controle sionista sobre a economia nacional.,reserva de postos de trabalho para a mão de obra local.,oposição do clero católico à expansão de novas religiões.,apoio da diplomacia varguista às opiniões dos líderes árabes.,simpatia de membros da burocracia pelo projeto totalitário alemão.,E
7,"


A mundialização introduz o aumento da produtividade do trabalho sem acumulação de capital, justamente pelo caráter divisível da forma técnica molecular digital do que resulta a permanência da má distribuição da renda: exemplificando mais uma vez, os vendedores de refrigerantes às portas dos estádios viram sua produtividade aumentada graças ao just in time dos fabricantes e distribuidores de bebidas, mas para realizar o valor de tais mercadorias, a forma do trabalho dos vendedores é a mais primitiva. Combinam-se, pois, acumulação molecular-digital com o puro uso da força de trabalho.

OLIVEIRA, F. Crítica à razão dualista e o ornitorrinco. Campinas Boitempo, 2003.



","

Os aspectos destacados no texto afetam diretamente questões como emprego e renda, sendo possível explicar essas transformações pelo(a)


",crise bancária e o fortalecimento do capital industrial.,inovação toyotista e a regularização do trabalho formal.,impacto da tecnologia e as modificações na estrutura produtiva.,emergência da globalização e a expansão do setor secundário.,diminuição do tempo de trabalho e a necessidade do diploma superior.,C
8,"


O bioma Cerrado foi considerado recentemente um dos 25 hotspots de biodiversidade do mundo segundo uma análise em escala mundial das regiões biogeográficas sobre áreas globais prioritárias para conservação. O conceito de hotspot foi criado tendo em vista a escassez de recursos direcionados para conservação, com o objetivo de apresentar os chamados “pontos quentes”, ou seja, locais para os quais existe maior necessidade de direcionamento de esforços, buscando evitar a extinção de muitas espécies que estão altamente ameaçadas por ações antrópicas.

PINTO, PP: DINIZ-FILHO, J. A. F. In: ALMEIDA, M. G. (Org.). Tantos cerrados: múltiplas abordagens sobre a biogeodiversidade e singularidade Cultural Goiânia: Vieira, 2005 (adaptado).



","

A necessidade desse tipo de ação na área mencionada tem como causa a


",intensificação da atividade turística.,implantação de parques ecológicos.,exploração dos recursos minerais.,elevação do extrativismo vegetal.,expansão da fronteira agrícola.,E
9,"


Segundo a Conferência de Quioto, os países centrais industrializados, responsáveis históricos pela poluição, deveriam alcançar a meta de redução de 5,2% do total de emissões segundo níveis de 1990. O nó da questão é o enorme custo desse processo, demandando mudanças radicais nas indústrias para que se adaptem rapidamente aos limites de emissão estabelecidos e adotem tecnologias energéticas limpas. A comercialização internacional de créditos de sequestro ou de redução de gases causadores do efeito estufa foi a solução encontrada para reduzir o custo global do processo. Países ou empresas que conseguirem reduzir as emissões abaixo de suas metas poderão vender este crédito para outro país ou empresa que não consiga.

BECKER, B. AMAZÔNIA: geopolítica na virada do II milênio. Rio de Janeiro: Garamond, 2009.



","

As posições contrárias à estratégia de compensação presente no texto relacionam-se à ideia de que ela promove


",retração nos atuais níveis de consumo.,surgimento de conflitos de caráter diplomático.,diminuição dos lucros na produção de energia.,desigualdade na distribuição do impacto ecológico.,decréscimo dos Índices de desenvolvimento econômico.,D
