,number,context,question,A,B,C,D,E,answer,context-images
0,48,"


A vegetação apresenta adaptações ao ambiente, como plantas arbóreas e arbustivas com raízes que se expandem horizontalmente, permitindo forte ancoragem no substrato lamacento; raízes que se expandem verticalmente, por causa da baixa oxigenação do substrato; folhas que têm glândulas para eliminar o excesso de sais; folhas que podem apresentar cutícula espessa para reduzir a perda de água por evaporação.



","

As características descritas referem-se a plantas adaptadas ao bioma:


",Cerrado.,Pampas.,Pantanal.,Manguezal.,Mata de Cocais.,D,
1,58,"


Em sua formulação, o spray de pimenta contém porcentagens variadas de oleorresina de Capsicum, cujo princípio ativo é a capsaicina, e um solvente (um álcool como etanol ou isopropanol). Em contato com os olhos, pele ou vias respiratórias, a capsaicina causa um efeito inflamatório que gera uma sensação de dor e ardor, levando à cegueira temporária. O processo é desencadeado pela liberação de neuropeptídios das terminações nervosas.

Como funciona o gás de pimenta. Disponível em: http://pessoas.hsw.uol.com.br. Acesso em: 1 mar. 2012 (adaptado).



","

Quando uma pessoa é atingida com o spray de pimenta nos olhos ou na pele, a lavagem da região atingida com água é ineficaz porque a


","reação entre etanol e água libera calor, intensificando o ardor.","solubilidade do princípio ativo em água é muito baixa, dificultando a sua remoção.","permeabilidade da água na pele é muito alta, não permitindo a remoção do princípio ativo.",solubilização do óleo em água causa um maior espalhamento além das áreas atingidas.,"ardência faz evaporar rapidamente a água, não permitindo que haja contato entre o óleo e o solvente.",B,
2,55,"


As proteínas de uma célula eucariótica possuem peptídeos sinais, que são sequências de aminoácidos responsáveis pelo seu endereçamento para as diferentes organelas, de acordo com suas funções. Um pesquisador desenvolveu uma nanopartícula capaz de carregar proteínas para dentro de tipos celulares específicos. Agora ele quer saber se uma nanopartícula carregada com uma proteína bloqueadora do ciclo de Krebs in vitro é capaz de exercer sua atividade em uma célula cancerosa, podendo cortar o aporte energético e destruir essas células.



","

Ao escolher essa proteína bloqueadora para carregar as nanopartículas, o pesquisador deve levar em conta um peptídeo sinal de endereçamento para qual organela?


",Núcleo.,Mitocôndria.,Peroxissomo.,Complexo golgiense.,Retículo endoplasmático.,B,
3,51,"







","

O técnico concluiu que as correntes que apresentam o mesmo valor são


",IA = IE e IC = ID.,IA = IB = IE e IC = ID.,"IA = IB, apenas.","IA = IB = IE, apenas.","IC = IB, apenas.",A,enem-data/enem-2016/51-images/context_img_0.png
4,50,"


Os ecossistemas degradados por intensa atividade agrícola apresentam geralmente, diminuição de sua a estabilidade. Nesse contexto, o uso integrado de árvores aos sistemas agrícolas (sistemas agroflorestais) pode cumprir um papel inovador ao buscar a aceleração do processo sucessional e, ao mesmo tempo, uma produção escalonada e diversificada.

Disponível em: saf.cnpgc.embrapa.br. Acesso em 21 jan. 2012 (adaptado)



","

Essa é uma estratégia de conciliação entre recuperação ambiental e produção agrícola, pois


",substitui gradativamente as espécies cultiváveis por espécies arbóreas.,intensifica a fertilização do solo com o uso de técnicas apropriadas e biocidas.,promove maior diversidade de vida no solo como aumento da matéria orgânica.,favorece a dispersão das sementes cultivadas pela fauna residente nas áreas florestais.,cria condições para o estabelecimento de espécies pioneiras com a diminuição da insolação sobre o solo.,C,
5,59,"


A usina de Itaipu é uma das maiores hidrelétricas do mundo em geração de energia. Com 20 unidades geradoras e 14 000 MW de potência total instalada, apresenta uma queda de 118,4 m e vazão nominal de 690 m³/s por unidade geradora. O cálculo da potência teórica leva em conta a altura da massa de água represada pela barragem, a gravidade local (10 m/s²) e a densidade da água (1 000 kg/m³). A diferença entre a potência teórica e a instalada é a potência não aproveitada.

Disponível em: www.itaipu.gov.br. Acesso em: 11 maio 2013 (adaptado).



","

Qual é a potência, em MW, não aproveitada em cada unidade geradora de Itaipu?


","1,18","116,96","816,96","13 183,04",,C,
6,61,"

Por apresentar significativa resistividade elétrica, o grafite pode ser utilizado para simular resistores elétricos em circuitos desenhados no papel, com o uso de lápis e lapiseiras. Dependendo da espessura e do comprimento das linhas desenhadas, é possível determinar a resistência elétrica de cada traçado produzido. No esquema foram utilizados três tipos de lápis diferentes (2H, HB e 6B) para efetuar três traçados distintos.










Munido dessas informações, um estudante pegou uma folha de papel e fez o desenho de um sorvete de casquinha utilizando-se desses traçados. Os valores encontrados nesse experimento, para as resistências elétricas (R), medidas com o auxílio de um ohmímetro ligado nas extremidades das resistências, são mostrados na figura. Verificou-se que os resistores obedeciam à Lei de Ohm.









","

Na sequência, conectou o ohmímetro nos terminais A e B do desenho e, em seguida, conectou-o nos terminais B e C, anotando as leituras RAB e RBC, respectivamente. Ao estabelecer a razão RAB / RBC, qual resultado o estudante obteve?


",1,4/7,10/27,14/81,4/81,B,"enem-data/enem-2016/61-images/context_img_0.png,enem-data/enem-2016/61-images/context_img_1.png"
7,49,"

Uma pessoa é responsável pela manutenção de uma sauna úmida. Todos os dias cumpre o mesmo ritual: colhe folhas de capim-cidreira e algumas folhas de eucalipto. Em seguida, coloca as folhas na saída do vapor da sauna, aromatizando-a, conforme mostrado na figura.









","

Qual processo de separação é responsável pela aromatização promovida?


",Filtração simples.,Destilação simples.,Extração por arraste.,Sublimação fracionada.,Decantação sólido-líquido.,C,enem-data/enem-2016/49-images/context_img_0.png
8,60,"









A Figura 2 ilustra o Projeto Park Spark, desenvolvido em Cambridge, MA (EUA), em que as fezes dos animais domésticos são recolhidas em sacolas biodegradáveis e jogadas em um biodigestor instalado em parques públicos; e os produtos são utilizados em equipamentos no próprio parque.










","

Uma inovação desse projeto é possibilitar o(a)


",queima de gás metano.,armazenamento de gás carbônico.,decomposição aeróbica das fezes.,uso mais eficiente de combustíveis fósseis.,fixação de carbono em moléculas orgânicas.,A,"enem-data/enem-2016/60-images/context_img_0.png,enem-data/enem-2016/60-images/context_img_1.png"
9,67,"


Em meados de 2003, mais de 20 pessoas morreram no Brasil após terem ingerido uma suspensão de sulfato de bário utilizada como contraste em exames radiológicos. O sulfato de bário é um sólido pouquíssimo solúvel em água, que não se dissolve mesmo na presença de ácidos. As mortes ocorreram porque um laboratório farmacêutico forneceu o produto contaminado com carbonato de bário, que é solúvel em meio ácido. Um simples teste para verificar a existência de íons bário solúveis poderia ter evitado a tragédia. Esse teste consiste em tratar a amostra com solução aquosa de HCl e, após filtrar para separar os compostos insolúveis de bário, adiciona-se solução aquosa de H2SO4 sobre o filtrado e observa-se por 30 minutos

TUBINO, M.; SIMONI, J.A. Refletindo sobre o caso celobar® Química Nova, n. 2, 2007 (adaptado).



","

A presença de íons bário solúveis na amostra é indicada pela


",liberação de calor.,alteração da cor para rosa.,precipitação de um sólido branco.,formação de gás hidrogênio.,volatilização de gás cloro.,C,
