,number,context,question,A,B,C,D,E,answer,context-images
0,1,"


Aquí estoy establecido,
En los Estados Unidos,
Diez años pasaron ya,
En que crucé de mojado,
Papeles no he arreglado,
Sigo siendo un ilegal.
Tengo mi esposa y mis hijos,
Que me los traje muy chicos,
Y se han olvidado ya,
De mi México querido,
Del que yo nunca me olvido,
Y no puedo regresar.
[…]
Mis hijos no hablan conmigo,
Otro idioma han aprendido,
Y olvidado el español,
Piensan como americanos,
Niegan que son mexicanos,
Aunque tengan mi color.

LOS TIGRES DEL NORTE. Jaula de oro. Woodland Hills, Califórnia: Fonovisa, 1986 (fragmento).



","

A letra de canção coloca em cena um dilema por vezes vivenciado por imigrantes. Esse dilema se configura no sentimento do pai em relação ao(à)


","diluição de sua identidade latino-americana, advinda do contato cotidiano com o outro.","distanciamento dos filhos, gerado pela apropriação da língua e da cultura do outro.",preconceito étnico-racial sofrido pelos imigrantes mexicanos no novo país.,desejo de se integrar à nova cultura e de se comunicar na outra língua.,vergonha perante os filhos de viver ilegalmente em outro país.,B,
1,1,"


Israel Travel Guide
Israel has always been a standout destination. From the days of prophets to the modern day nomad this tiny slice of land on the eastern Mediteranean has long attracted visitors. While some arrive in the ‘Holy Land’ on a spiritual quest, many others are on cultural tours, beach holidays and eco-tourism trips. Weeding through Israel’s convoluted history is both exhilarating and exhausting. There are crumbling temples, ruined cities, abandoned forts and hundreds of places associated with the Bible. And while a sense of adventure is required, most sites are safe and easily accessible. Most of all, Israel is about its incredibly diverse population. Jews come from all over the world to live here, while about 20% of the population is Muslim. Politics are hard to get away from in Israel as everyone has an opinion on how to move the country forward — with a ready ear you’re sure to hear opinions from every side of the political spectrum.

Disponível em: www.worldtravelguide.net. Acesso em: 15 jun. 2012.



","

Antes de viajar, turistas geralmente buscam informações sobre o local para onde pretendem ir. O trecho do guia de viagens de Israel


",descreve a história desse local para que turistas valorizem seus costumes milenares.,informa hábitos religiosos para auxiliar turistas a entenderem as diferenças culturais.,divulga os principais pontos turísticos para ajudar turistas a planejarem sua viagem.,recomenda medidas de segurança para alertar turistas sobre possíveis riscos locais.,apresenta aspectos gerais da cultura do país para continuar a atrair turistas estrangeiros.,E,
2,2,"


Emotivo encuentro en la universidad pública
El entonces mandatario uruguayo recibió el cariño de sus compatriotas residentes en Nueva York e informó sobre la evolución del país, las políticas de gobierno, los avances y cuentas pendientes. Como en ocasiones similares, se multiplicaron las muestras de respeto y emoción. “Una nación es un formidable sentimiento de un ‘nosotros’”, dijo.
Mujica comenzó su discurso relatando lo recogido de otras experiencias de comunidades en el exilio. “Muchos de ustedes echaron raíces, tienen hijos y no pueden cometer la agresión de descuajarle la vida. Tienen que cargar con esa nostalgia de ser de allá, pero estar acá”, dijo.
“Estamos metidos en la lucha por mejorar las circunstancias, con el sueño de que las generaciones que vengan, puedan venir con más soltura, con más apoyo”, dijo el Presidente.
Mujica se refirió a algunas críticas que reciben algunas políticas sociales. “Nos acusan de que damos sin contrapartida. Nos dicen ‘a la gente no hay que darle pescado, sino enseñarle a pescar’. Sí — razonó el Presidente —, pero cuando le afanaste la caña, le afanaste el bote, ¿qué le vas a pedir? Para atrás no arreglamos, arreglamos para adelante.”

Disponível em: www.republica.com.uy. Acesso em: 26 set. 2013 (adaptado).



","

No discurso dirigido aos compatriotas radicados em Nova York, o então presidente Mujica expressa o desejo de que os cidadãos que vivem no Uruguai


",apoiem as políticas públicas afirmativas.,integrem-se ao processo de globalização.,cultivem o sentimento nacionalista.,ofereçam uma contrapartida à nação.,tenham melhores condições de vida.,E,
3,2,"


One of the things that made an incredible impression on me in the film was Frida’s comfort in and celebration of her own unique beauty. She didn’t try to fit into conventional ideas or images about womanhood or what makes someone or something beautiful. Instead, she fully inhabited her own unique gifts, not particularly caring what other people thought. She was magnetic and beautiful in her own right. She painted for years, not to be a commercial success or to be discovered, but to express her own inner pain, joy, family, love and culture. She absolutely and resolutely was who she was. The trueness of her own unique vision and her ability to stand firmly in her own truth was what made her successful in the end.

HUTZLER, L. Disponível em: www.etbscreenwriting.com. Acesso em: 6 maio 2013.



","

A autora desse comentário sobre o filme Frida mostra-se impressionada com o fato de a pintora


",ter uma aparência exótica.,vender bem a sua imagem.,ter grande poder de sedução.,assumir sua beleza singular.,recriar-se por meio da pintura.,D,
4,8,"


Sítio Gerimum
Este é o meu lugar (…)
Meu Gerimum é com g
Você pode ter estranhado
Gerimum em abundância
Aqui era plantado
E com a letra g
Meu lugar foi registrado.

OLIVEIRA, H. D. Língua Portuguesa, n. 88, fev. 2013 (fragmento)



","

Nos versos de um menino de 12 anos, o emprego da palavra “Gerimum”grafada com a letra “g” tem por objetivo


",Valorizar usos informais caracterizadores da norma nacional.,confirmar o uso da norma-padrão em contexto da linguagem poética.,enfatizar um processo recorrente na transformação da língua portuguesa.,registrar a diversidade étnica e linguística presente no território brasileiro.,reafirmar discursivamente a forte relação do falante com seu lugar de origem.,E,
5,3,"


El carpintero
Orlando Goicoechea reconoce las maderas por el olor, de qué árboles vienen, qué edad tienen, y oliéndolas sabe si fueron cortadas a tiempo o a destiempo y les adivina los posibles contratiempos.
Al cabo de tantos años de trabajo, Orlando se ha dado el lujo de comprarse un video, y ve una película tras otra.
No sabía que eras loco por cine le dice el vecino.
Y Orlando le explica que no, que a él ni le va ni le viene, pero gracias al video puede detener las películas para estudiar los muebles.

GALEANO, E. Disponivel em: http://elcajondesastre.blogcindarrio.com. Acesso em: 18 abr. 2012.



","

No conto de Galeano, a expressão ni le va ni le viene encerra uma opinião a respeito de cinema que


",desconstrói a ideia central do conto sobre a importância das atividades de lazer.,contradiz a percepção que o narrador tem em relação à profissão exercida por Orlando.,revela o descaso do narrador com relação ao ofício desempenhado por Orlando.,reforça a impressão do vizinho de que Orlando gostava de filmes.,evidencia a extrema devoção do carpinteiro ao seu ofício.,E,
6,4,"


El virus del papiloma humano (HPV) también es un problema de hombres
Para algunos hombres, el virus del papiloma humano (HPV) es algo muy lejano. Se olvidan de que ellos también se infectan y de que, al contagiarnos, nos están regalando un pasaporte mágico para el cáncer cérvico-uterino — segunda causa de muerte entre las mujeres de México —; incluso me ha tocado escuchar en boca de algunos de ellos que “sólo se trata de una infeccioncita”. Pues bien, el HPV también es un problema de hombres, no sólo porque propaga la infección entre la población femenina, sino también porque este virus produce otros problemas de salud tanto en hombres como en mujeres, incluyendo verrugas genitales y cáncer de boca y garganta que, si bien no son tan conocidos o alarmantes por su cantidad, como otros tipos de cáncer, también constituyen un riesgo. Por lo anterior, la Academia Americana de Pediatría decidió enfrentarse al HPV mediante vacunas que se ponen tanto a mujeres como hombres. Los especialistas afirman que la vacuna es más efectiva si se administra antes de que el niño se vuelva sexualmente activo, y responde mejor en el organismo de varones entre 9 y 15 años.

ALBITER, K. Disponível em: http://vivirmexico.com. Acesso em: 10 jul. 2012 (adaptado).



","

O texto aborda a temática do HPV. Ao discorrer sobre o contágio e a prevenção do papiloma humano, a autora informa aos leitores que esse vírus é


",estudado pela Academia Americana de Pediatria por seus efeitos em crianças.,responsável pelo aumento de casos de câncer na população jovem mexicana.,ignorado pelos homens por se restringir à população feminina.,combatido por vacinas que devem ser aplicadas tanto em mulheres quanto em homens.,classificado como um problema superável pela facilidade com que se enfrenta a infecção.,D,
7,3,"


Letters
Children and Guns
Published: May 7, 2013
To the Editor: Re “Girl’s Death by Gunshot Is Rejected as Symbol” (news article, May 6):
I find it abhorrent that the people of Burkesville, Ky., are not willing to learn a lesson from the tragic shooting of a 2-year-old girl by her 5-year-old brother. I am not judging their lifestyle of introducing guns to children at a young age, but I do feel that it’s irresponsible not to practice basic safety with anything potentially lethal — guns, knives, fire and so on. How can anyone justify leaving guns lying around, unlocked and possibly loaded, in a home with two young children? I wish the family of the victim comfort during this difficult time, but to dismiss this as a simple accident leaves open the potential for many more such “accidents” to occur. I hope this doesn’t have to happen several more times for legislators to realize that something needs to be changed.
EMILY LOUBATON
Brooklyn, May 6, 2013

Disponível em: www.nytimes.com. Acesso em: 10 maio 2013.



","

No que diz respeito à tragédia ocorrida em Burkesville, a autora da carta enviada ao The New York Times busca


",reconhecer o acidente noticiado como um fato isolado.,responsabilizar o irmão da vítima pelo incidente ocorrido.,apresentar versão diferente da notícia publicada pelo jornal.,expor sua indignação com a negligência de portadores de armas.,reforçar a necessidade de proibição do uso de armas por crianças.,D,
8,5,"


El eclipse
Cuando Fray Bartolomé Arrazola se sintió perdido aceptó que ya nada podría salvarlo. La selva poderosa de Guatemala lo había apresado, implacable y definitiva. Ante su ignorancia topográfica se sentó con tranquilidad a esperar la muerte. Al despertar se encontró rodeado por un grupo de indígenas de rostro impasible que se disponía a sacrificarlo ante un altar, un altar que a Bartolomé le pareció como el lecho en que descansaría, al fin, de sus temores, de su destino, de sí mismo. Tres años en el país le habían conferido un mediano dominio de las lenguas nativas. Intentó algo. Dijo algunas palabras que fueron comprendidas. Entonces floreció en él una idea que tuvo por digna de su talento y de su cultura universal y de su arduo conocimiento de Aristóteles. Recordó que para ese día se esperaba un eclipse total de sol. Y dispuso, en lo más íntimo, valerse de aquel conocimiento para engañar a sus opresores y salvar la vida. — Si me matáis — les dijo — puedo hacer que el sol se oscurezca en su altura. Los indígenas lo miraron fijamente y Bartolomé sorprendió la incredulidad en sus ojos. Vio que se produjo un pequeño consejo, y esperó confiado, no sin cierto desdén. Dos horas después el corazón de Fray Bartolomé Arrazola chorreaba su sangre vehemente sobre la piedra de los sacrificios (brillante bajo la opaca luz de un sol eclipsado), mientras uno de los indígenas recitaba sin ninguna inflexión de voz, sin prisa, una por una las infinitas fechas en que se producirían eclipses solares y lunares, que los astrónomos de la comunidad maya habían previsto y anotado en sus códices sin la valiosa ayuda de Aristóteles.

MONTERROSO, A. Obras completas y otros cuentos. Bogotá: Norma, 1994 (adaptado).



","

No texto, confrontam-se duas visões de mundo: a da cultura ocidental, representada por Frei Bartolomé Arrazola, e a da mítica pré-hispânica, representada pela comunidade indígena maia. Segundo a narrativa,


",os catequizadores espanhóis avalizam os saberes produzidos pelas comunidades indígenas hispano-americanas.,os indígenas da comunidade maia mostram-se perplexos diante da superioridade do conhecimento aristotélico do frei espanhol.,"o catequizador espanhol Arrazola apresenta-se adaptado às culturas autóctones, ao promover a interlocução entre os conhecimentos aristotélico e indígena.","o episódio representa, de forma neutra, o significado do conhecimento ancestral indígena, quando comparado ao conhecimento ocidental.","os conhecimentos acadêmicos de Arrazola são insuficientes para salvá-lo da morte, ante a sabedoria astronômica da cultura maia.",E,
9,7,"


PROPAGANDA – O exame dos textos e mensagens de Propaganda revela que ele apresenta posições parciais, que refletem apenas o pensamento de uma minoria, como se exprimissem, em vez disso a convicção de uma população; trata-se, no fundo, de convencer o ouvinte ou leitor de que, em termos de opinião, está fora do caminho certo, e de induzi-lo a aderir às teses que lhes são apresentadas, por um mecanismo bem conhecido da psicologia social, o do conformismo induzido por pressões do grupo sobre o indivíduo isolado.

BOBBIP, N.; MATTEUCCI, N.; PASQUINO, G. Dicionário de política. Brasília: UnB, 1998 (adaptado).



","


De acordo com o texto, as estratégias argumentativas e o uso da linguagem na produção da propaganda favorecem a


",reflexão da sociedade sobre os produtos anunciados.,difusão do pensamento e das preferências das grandes massas., imposição das ideias e posições de grupos específicos.,decisão consciente do consumidor a respeito de sua compra.,identificação dos interesses do responsável pelo produto divulgado.,C,
