,number,context,question,A,B,C,D,E,answer,context-images
0,52,"


Os séculos XV e XVI, quando se vão desmoronando as estruturas socioeconômicas da Idade Média perante os novos imperativos da Época moderna, constituem um momento-chave na história florestal de toda a Europa Ocidental. Abre-se, genericamente, um longo período de “crise florestal”, que se manifesta com acuidade nos países onde mais se desenvolvem as atividades industriais e comerciais. As necessidades em produtos lenhosos aumentam drasticamente com o crescimento do consumo nos mercados urbanos e nas regiões onde progridem a metalurgia e a construção naval, além da sua utilização na vida quotidiana de toda a população.
 

DEVY-VARETA, N. Para uma geografia histórica da floresta portuguesa. Revista da Faculdade de Letras – Geografia, n. 1, 1986 (adaptado).



","

Qual acontecimento do período contribuiu diretamente para o agravamento da situação descrita?


",O processo de expansão marítima.,A eclosão do renascimento cultural.,A concretização da centralização política.,O movimento de reformas religiosas.,A manutenção do sistema feudal.,A,
1,50,"


Negar o pedido por dinheiro indispensável para necessidades pessoais ou comprar bens usando o nome da pessoa sem o consentimento dela. Ameaçar o corte de recursos dependendo de atitudes pessoais, esconder documentos ou trocar senhas do banco sem avisar. Ou, ainda, proibir a pessoa de trabalhar ou destruir seus pertences. As histórias são comuns, mas às vezes não são reconhecidas como abuso. Mas é uma das cinco formas de conduta contra a mulher previstas na Lei Maria da Penha.
 

LEWGOY. J. Conduta quase invisível destrói a vida de mulheres. Disponível em: https://valorinveste.globo.com. Acesso em: 23 out. 2021 (adaptado).



","

O texto apresenta tipos de conduta sujeitos a punição, conforme previsto na Lei Maria da Penha, porque consistem em formas de


",ação difamatória. ,desvio comportamental. ,expressão preconceituosa. ,violência patrimonial. ,desentendimento matrimonial.,D,
2,60,"


Os vapores cruzavam os mares transportando pessoas, mercadorias e ideias, e ainda carregavam a mala postal, repleta de mensagens. Múltiplas histórias escritas atravessavam o oceano buscando por notícias de filhos e pais, irmãos, maridos e esposas, noivos e noivas. As missivas traziam boas e más novas, comunicavam alegremente nascimentos e casamentos, também doenças e mortes; enviavam declarações de amor e fidelidade, fotos de família; encaminhavam conselhos de velhos, pedidos de ajuda e de dinheiro; expediam cartas bancárias e de chamada. Essa literatura epistolar possibilitava a transmissão e reconstrução das tradições. Os deslocamentos tornaram-se um dos mais potentes produtores de escritura ao longo da história.

TRUZZI, O.; MATOS, I. Saudades: sensibilidades no epistolário de e/imigrantes
portuqueses (Portugal-Brasil 1890-1930). Rev. Bras. Hist., n. 70, jul.-dez. 2015.



","

Conforme o texto, as correspondências trocadas entre imigrantes no Brasil com os seus países de procedência constituíam um dispositivo tecnológico que possibilitava o(a)


",disputa ideológica entre a comunidade de estrangeiros e a de nativos.,circularidade cultural entre a sociedade de partida e a de acolhimento.,controle doutrinário das narrativas do cotidiano de origem e de destino..,fiscalização política dos fluxos de populações do Novo e do Velho Mundo.,monitoramento social dos grupos de trabalhadores da cidade e do campo.,B,
3,49,"


Do século XVI em diante, pelo menos nas classes mais altas, o garfo passou a ser usado como utensílio para comer, chegando através da Itália primeiramente à França e, em seguida, à Inglaterra e à Alemanha, depois de ter servido, durante algum tempo, apenas para retirar alimentos sólidos da travessa. Henrique III introduziu-o na França, trazendo-o provavelmente de Veneza. Seus cortesãos não foram pouco ridicularizados por essa maneira “afetada” de comer e, no princípio, não eram muito hábeis no uso do utensílio: pelo menos se dizia que metade da comida cala do garfo no caminho do prato à boca. Em data tão recente como o século XVII, o garfo era ainda basicamente artigo de luxo, geralmente feito de prata ou ouro.


ELIAS. N. O processo civilizador: uma história dos costumes. Rio de Janeiro: Zahar, 1994.



","

O processo social relatado indica a formação de uma etiqueta que tem como principio a


",distinção das classes sociais.,valorização de habitos de higiene. ,exaltação da cultura mediterrânea.,consagração de tradições medievais.,disseminação de produtos manufaturados.,A,
4,56,"


No cemitério, a sociedade religiosa encarregada do funeral, aterrorizada, apressou a cerimônia de tal forma que a mãe de Herzog perdeu o momento em que o caixão do filho começou a ser coberto pela terra. Quatro jornalistas que estavam presos no DOI chegaram para assistir ao sepultamento. Um se afastara, chorando. Dizia: Eles matam, eles matam! Não pergunte nada. Não podemos dizer nada. Eles matam mesmo. Falava-se baixo. Ouviram-se dois curtos discursos. O primeiro, da atriz Ruth Escobar: Até quando vamos suportar tanta violência? Até quando vamos continuar enterrando nossos mortos em silêncio? No segundo, Audálio Dantas recitou o Navio negreiro, de Castro Alves: Senhor Deus dos desgraçados / Dizei-me Vós, Senhor Deus / Se é mentira, se é verdade, / Tanto horror perante os céus.

GASPARI, E. A ditadura encurralada. São Paulo: Cia. das Letras, 2004.



","

O acontecimento descrito no texto, ocorrido em meados dos anos 1970, atesta a seguinte característica do regime político-institucional vigente:


",Incorporação da estética popular para justificar o ideal de integração nacional., Afirmação da estratégia psicossocial para favorecer o objetivo de propaganda cívica., Institucionalização de mecanismos repressivos para eliminar os focos de resistência.,Adoção de cerimoniais públicos para controlar as manifestações de grupos opositores.,Estatização de meios de comunicação para selecionar a divulgação de atos governamentais.,C,
5,53,"


Tahuantinsuyu — nome do Império Inca em quéchua — era dividido em quatro partes ou suyus: Chinchaysuyu (noroeste do Peru e Equador), Antisuyu (parte amazônica do império), Collasuyu (atual Bolívia) e Condesuyu (costa do Oceano Pacífico) e tinha Cuzco, no atual Peru, como sua capital imperial. Oficialmente, todas as etnias dominadas pelos incas deveriam adotar a língua quéchua, adorar o Sapa Inca e o Sol e pagar taxas em forma de horas de trabalhos periódicos. No entanto, pode-se dizer que o Império Inca era como um mosaico cultural em que vários e diferentes grupos étnicos adoravam o Sapa Inca e o Sol mas, simultaneamente, continuavam a adorar seus deuses locais e também a falar em suas línguas nativas.
 

MARTINS, C. Os incas e os tahuantinsuyu: apresentação. Disponível em: http://antigo.anphlac.org. Acesso em: 6 out. 2021 (adaptado).



","

Ao comparar, no texto, a vertente da dominação territorial com os aspectos culturais, os incas tinham uma postura


",aceitável no que alude aos direitos humanos.,admissível no que remete às crenças coloniais.,tolerável no que se refere aos regimes tributários.,flexível no que diz respeito aos costumes religiosos.,compreensível no que concerne às normas laborais.,D,
6,54,"


A torcida do Fluminense inicia um movimento para mudar a letra de uma das músicas mais populares das arquibancadas tricolores. Grupos pedem a remoção do termo “mulambo imundo”, em uma provocação direta ao Flamengo. Mulambo é um termo que surgiu em Angola, na época da escravatura, e eles eram chamados de mulambos pelos senhores de engenho, os patrões das fazendas.
 

Disponível em: https://oglobo.globo.com. Acesso em: 23 nov. 2021.



","

Qual mudança no comportamento social a proposta reportada no texto reflete?


",A Rejeição de costumes elitistas.,Repulsão de condutas misóginas.,Condenação do preconceito racial.,Criminalização de práticas homofóbicas,Contestação do comportamento machista.,C,
7,51,"


Por trás da “mágica” do Google Assistant de sua capacidade de interpretar 26 idiomas está uma enorme equipe de linguistas distribuídos globalmente, trabalhando como subcontratados, que devem rotular tediosamente os dados de treinamento para que funcione. Eles ganham baixos salários e são rotineiramente forçados a trabalhar horas extras não remuneradas. A inteligência artificial não funciona como um pozinho mágico. Ela funciona por meio de trabalhadores que treinam algoritmos incansavelmente até que eles automatizem seus próprios trabalhos.

A Inteligência Artificial (IA) da economia freelancer está vindo atrás de você. Disponível em: https://mittechreview.com.br. Acesso em: 6 out. 2021 (adaptado).



","

O texto critica a mudança tecnológica em razão da seguinte consequência:


",Diversificação da função.,Mobilidade da população.,Autonomia do empregado.,Concentração da produção.,Invisibilidade do profissional.,E,
8,48,"


A Cavalgada de Sant’Ana é uma expressão da devoção dos vaqueiros à padroeira de Caicó (RN). Nas décadas de 1950 a 1970, esse evento, então denominado Cavalaria, era celebrado pelas pessoas que residiam na zona rural do município de Caicó. Essas pessoas usavam os animais (jegues, mulas e cavalos) como único meio de transporte, sobretudo para se dirigirem à cidade nos dias de feiras, trazendo seus produtos para comercializarem. Estando em Caicó no período da Festa de Sant’Ana, esses agricultores se organizavam em cavalgada até o pátio da Catedral de Sant’Ana para louvar a santa e receber bênção para seus animais. Por volta da década de 1970, com a chegada do automóvel à zona rural do município, essa expressão cultural foi extinta. O meio de transporte utilizando os animais passou a ser substituído por carros, sobretudo caminhonetes e caminhões, que transportavam os camponeses para a cidade em dias de feiras e festas. Desde 2002, um grupo de caicoenses retomou essa expressão cultural e, em conjunto com a associação dos vaqueiros, realiza no primeiro domingo da Festa a Cavalgada de Sant’Ana. O evento, além de contar com a participação dos cavaleiros que residem nas zonas rurais, atrai também pessoas que residem em Caicó, cidades vizinhas e amantes das vaquejadas.


FESTA DE SANT’ANA. Disponivel em: http://portal.iphan.gov.br Acesso em: 12 out. 2021 (adaptado).



","

As mudanças culturais mencionadas no texto caracterizam-se pela presenca de


",elementos tradicionais e modernos em torno de uma crença religiosa.,argumentos teológicos e históricos em consequência de uma ordem papal.,fundamentos estéticos e etnográficos em função de uma cerimônia clerical. ,práticas corporais e esportivas em decorrência de uma imposição eclesiástica. ,discursos filosóficos e antropológicos em resultado de uma determinação paroquial. ,A,
9,57,"


Alternativas logísticas estão servindo de instrumentos que ativam os mercados especuladores de terras nas diferentes regiões da Amazônia e constituem em indicadores utilizados por diferentes atores para defender ou denunciar o avanço da cultura da soja na região e, com ela, a retomada do desmatamento. É evidente que o crescimento do desmatamento tem a ver também com a expansão da soja, porém atribuir a ela o fator principal parece não totalmente correto. Parto da compreensão central de que a lógica que gera o desmatamento está articulada pelo tripé grileiros, madeireiros e pecuaristas.

OLIVEIRA, A. U. A Amazônia e a nova geografia da produção da soja. Terra Livre, n. 26, jan.-jun. 2006 (adaptado).



","

Na visão do autor, o problema central da situação descrita é desencadeado pela


",apropriação de áreas devolutas.,sonegação de impostos federais.,incorporação de exportação ilegal.,desoneração de setores produtivos.,flexibilização de legislação ambiental.,A,
10,61,"


Diversos são os fatores causadores da degradação do solo, atuando de forma direta ou indireta, mas quase sempre a grande maioria das terras degradadas inicia esse processo com o desmatamento, que pode ser seguido por diversas formas de ocupação desordenada, como: corte de taludes para a construção de casas, rodovias e ferrovias, agricultura, com uso da queimada, vários tipos de mineração, irrigação excessiva, crescimento desordenado das cidades, superpastoreio, uso do solo para diversos tipos de despejos industriais e domésticos, sem tratamento da área que recebe esses despejos; enfim, de uma forma ou de outra, os solos tornam-se degradados, sendo muitas vezes difícil, ou quase impossível, a sua recuperação.

GUERRA, A. T. Degradação dos solos: conceitos e temas. In: GUERRA, A. T.; JORGE, M. C. O. (Org.). Degradação dos solos no Brasil. Rio de Janeiro: Difel, 2018.



","

A partir da ocupação desordenada exporta no texto, o que impede a recuperação do recurso natural destacado é a


",elevação da biomassa.,redução da salinização.,diminuição da fertilidade.,ampliação da microfauna.,decomposição do substrato.,C,
11,55,"




Disponível em: www.insper.edu.br. Acesso em: 27 set. 2021 (adaptado).




","

Qual fator foi determinante para a mudança do indicador apresentado no gráfico?


",Flexibilização legal da prática de aborto.,Envelhecimento da população brasileira.,Crescimento dos casos de gravidez precoce.,Participação feminina no mercado de trabalho.,Diminuição dos benefícios na licença-maternidade.,D,enem-data/enem-2023/55-images/context_img_0.png
